Frequenza,Territorio,Indicatore,Luogo di nascita del marito,Luogo di nascita della moglie,Luogo di residenza del marito,Luogo di residenza della moglie,Classe di età del marito al divorzio,Classe di età della moglie al divorzio,Classe di età del marito al matrimonio,Classe di età della moglie al matrimonio,Anno di matrimonio,TIME_PERIOD,VALUE,OBS_STATUS,SOURCE
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2010,2050,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2011,1885,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2012,2080,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2013,2079,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2014,2256,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,15-24 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2008,2,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,15-24 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2009,6,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,15-24 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2010,3,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,15-24 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2011,5,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,15-24 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2012,1,,27_385_DF_DCIS_DIVORDEMCONG_5
