Frequenza,Territorio,Indicatore,Rito di esaurimento,Periodo tra la separazione e l'iscrizione a ruolo del procedimento,Modalità di esaurimento,Con figli affidati,Durata del matrimonio,Anno di matrimonio,Numero di figli,Coniuge che ha presentato la domanda di divorzio con rito giudiziale,Tipo di affidamento,Numero di figli affidati,Età dei figli affidati,TIME_PERIOD,VALUE,OBS_STATUS,SOURCE
annuale,Piemonte,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,moglie,totale,totale,totale,2012,624,,27_814_DF_DCIS_DIVFIG_10
annuale,Piemonte,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,moglie,totale,totale,totale,2013,651,,27_814_DF_DCIS_DIVFIG_10
annuale,Piemonte,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,moglie,totale,totale,totale,2014,637,,27_814_DF_DCIS_DIVFIG_10
annuale,Valle d'Aosta / Vallée d'Aoste,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,tutte le voci,totale,totale,totale,2008,199,,27_814_DF_DCIS_DIVFIG_10
annuale,Valle d'Aosta / Vallée d'Aoste,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,tutte le voci,totale,totale,totale,2009,180,,27_814_DF_DCIS_DIVFIG_10
annuale,Valle d'Aosta / Vallée d'Aoste,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,tutte le voci,totale,totale,totale,2010,144,,27_814_DF_DCIS_DIVFIG_10
annuale,Valle d'Aosta / Vallée d'Aoste,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,tutte le voci,totale,totale,totale,2011,176,,27_814_DF_DCIS_DIVFIG_10
annuale,Valle d'Aosta / Vallée d'Aoste,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,tutte le voci,totale,totale,totale,2012,188,,27_814_DF_DCIS_DIVFIG_10
annuale,Valle d'Aosta / Vallée d'Aoste,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,tutte le voci,totale,totale,totale,2013,156,,27_814_DF_DCIS_DIVFIG_10
annuale,Valle d'Aosta / Vallée d'Aoste,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,tutte le voci,totale,totale,totale,2014,131,,27_814_DF_DCIS_DIVFIG_10
annuale,Valle d'Aosta / Vallée d'Aoste,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,entrambi,totale,totale,totale,2008,5,,27_814_DF_DCIS_DIVFIG_10
annuale,Valle d'Aosta / Vallée d'Aoste,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,entrambi,totale,totale,totale,2009,1,,27_814_DF_DCIS_DIVFIG_10
annuale,Valle d'Aosta / Vallée d'Aoste,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,entrambi,totale,totale,totale,2010,0,,27_814_DF_DCIS_DIVFIG_10
annuale,Valle d'Aosta / Vallée d'Aoste,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,entrambi,totale,totale,totale,2011,0,,27_814_DF_DCIS_DIVFIG_10
annuale,Valle d'Aosta / Vallée d'Aoste,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,entrambi,totale,totale,totale,2012,0,,27_814_DF_DCIS_DIVFIG_10
annuale,Valle d'Aosta / Vallée d'Aoste,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,entrambi,totale,totale,totale,2013,0,,27_814_DF_DCIS_DIVFIG_10
annuale,Valle d'Aosta / Vallée d'Aoste,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,entrambi,totale,totale,totale,2014,0,,27_814_DF_DCIS_DIVFIG_10
annuale,Valle d'Aosta / Vallée d'Aoste,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,marito,totale,totale,totale,2008,27,,27_814_DF_DCIS_DIVFIG_10
annuale,Valle d'Aosta / Vallée d'Aoste,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,marito,totale,totale,totale,2009,35,,27_814_DF_DCIS_DIVFIG_10
annuale,Valle d'Aosta / Vallée d'Aoste,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,marito,totale,totale,totale,2010,32,,27_814_DF_DCIS_DIVFIG_10
annuale,Valle d'Aosta / Vallée d'Aoste,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,marito,totale,totale,totale,2011,34,,27_814_DF_DCIS_DIVFIG_10
annuale,Valle d'Aosta / Vallée d'Aoste,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,marito,totale,totale,totale,2012,32,,27_814_DF_DCIS_DIVFIG_10
