Frequenza,Territorio,Indicatore,Luogo di nascita del marito,Luogo di nascita della moglie,Luogo di residenza del marito,Luogo di residenza della moglie,Classe di età del marito al divorzio,Classe di età della moglie al divorzio,Classe di età del marito al matrimonio,Classe di età della moglie al matrimonio,Anno di matrimonio,TIME_PERIOD,VALUE,OBS_STATUS,SOURCE
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,30-34 anni,15 anni e più,15 anni e più,tutte le voci,2014,37,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,35-39 anni,15 anni e più,15 anni e più,tutte le voci,2008,84,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,35-39 anni,15 anni e più,15 anni e più,tutte le voci,2009,80,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,35-39 anni,15 anni e più,15 anni e più,tutte le voci,2010,89,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,35-39 anni,15 anni e più,15 anni e più,tutte le voci,2011,74,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,35-39 anni,15 anni e più,15 anni e più,tutte le voci,2012,84,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,35-39 anni,15 anni e più,15 anni e più,tutte le voci,2013,83,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,35-39 anni,15 anni e più,15 anni e più,tutte le voci,2014,95,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,40-44 anni,15 anni e più,15 anni e più,tutte le voci,2008,120,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,40-44 anni,15 anni e più,15 anni e più,tutte le voci,2009,177,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,40-44 anni,15 anni e più,15 anni e più,tutte le voci,2010,171,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,40-44 anni,15 anni e più,15 anni e più,tutte le voci,2011,155,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,40-44 anni,15 anni e più,15 anni e più,tutte le voci,2012,122,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,40-44 anni,15 anni e più,15 anni e più,tutte le voci,2013,150,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,40-44 anni,15 anni e più,15 anni e più,tutte le voci,2014,160,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,45-49 anni,15 anni e più,15 anni e più,tutte le voci,2008,272,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,45-49 anni,15 anni e più,15 anni e più,tutte le voci,2009,292,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,45-49 anni,15 anni e più,15 anni e più,tutte le voci,2010,319,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,45-49 anni,15 anni e più,15 anni e più,tutte le voci,2011,279,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,45-49 anni,15 anni e più,15 anni e più,tutte le voci,2012,281,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,45-49 anni,15 anni e più,15 anni e più,tutte le voci,2013,350,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,45-49 anni,15 anni e più,15 anni e più,tutte le voci,2014,340,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,50-54 anni,15 anni e più,15 anni e più,tutte le voci,2008,595,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,50-54 anni,15 anni e più,15 anni e più,tutte le voci,2009,633,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,50-54 anni,15 anni e più,15 anni e più,tutte le voci,2010,718,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,50-54 anni,15 anni e più,15 anni e più,tutte le voci,2011,745,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,50-54 anni,15 anni e più,15 anni e più,tutte le voci,2012,786,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,50-54 anni,15 anni e più,15 anni e più,tutte le voci,2013,789,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,50-54 anni,15 anni e più,15 anni e più,tutte le voci,2014,872,,27_385_DF_DCIS_DIVORDEMCONG_4
