Frequenza,Territorio,Indicatore,Luogo di nascita del marito,Luogo di nascita della moglie,Luogo di residenza del marito,Luogo di residenza della moglie,Classe di età del marito al divorzio,Classe di età della moglie al divorzio,Classe di età del marito al matrimonio,Classe di età della moglie al matrimonio,Anno di matrimonio,TIME_PERIOD,VALUE,OBS_STATUS,SOURCE
annuale,Basilicata,divorzi concessi dal tribunale,Totale,Totale,Totale,Totale,15 anni e più,50-54 anni,15 anni e più,15 anni e più,tutte le voci,2015,55,,27_470_DF_DCIS_DIVORDEMCONG1_6
annuale,Basilicata,divorzi concessi dal tribunale,Totale,Totale,Totale,Totale,15 anni e più,50-54 anni,15 anni e più,15 anni e più,tutte le voci,2016,76,,27_470_DF_DCIS_DIVORDEMCONG1_6
annuale,Basilicata,divorzi concessi dal tribunale,Totale,Totale,Totale,Totale,15 anni e più,50-54 anni,15 anni e più,15 anni e più,tutte le voci,2017,69,,27_470_DF_DCIS_DIVORDEMCONG1_6
annuale,Basilicata,divorzi concessi dal tribunale,Totale,Totale,Totale,Totale,15 anni e più,50-54 anni,15 anni e più,15 anni e più,tutte le voci,2018,53,,27_470_DF_DCIS_DIVORDEMCONG1_6
annuale,Basilicata,divorzi concessi dal tribunale,Totale,Totale,Totale,Totale,15 anni e più,50-54 anni,15 anni e più,15 anni e più,tutte le voci,2019,50,,27_470_DF_DCIS_DIVORDEMCONG1_6
annuale,Basilicata,divorzi concessi dal tribunale,Totale,Totale,Totale,Totale,15 anni e più,50-54 anni,15 anni e più,15 anni e più,tutte le voci,2020,37,,27_470_DF_DCIS_DIVORDEMCONG1_6
annuale,Basilicata,divorzi concessi dal tribunale,Totale,Totale,Totale,Totale,15 anni e più,50-54 anni,15 anni e più,15 anni e più,tutte le voci,2021,80,,27_470_DF_DCIS_DIVORDEMCONG1_6
annuale,Basilicata,divorzi concessi dal tribunale,Totale,Totale,Totale,Totale,15 anni e più,50-54 anni,15 anni e più,15 anni e più,tutte le voci,2022,86,,27_470_DF_DCIS_DIVORDEMCONG1_6
annuale,Basilicata,divorzi concessi dal tribunale,Totale,Totale,Totale,Totale,15 anni e più,55-59 anni,15 anni e più,15 anni e più,tutte le voci,2015,35,,27_470_DF_DCIS_DIVORDEMCONG1_6
annuale,Basilicata,divorzi concessi dal tribunale,Totale,Totale,Totale,Totale,15 anni e più,55-59 anni,15 anni e più,15 anni e più,tutte le voci,2016,43,,27_470_DF_DCIS_DIVORDEMCONG1_6
annuale,Basilicata,divorzi concessi dal tribunale,Totale,Totale,Totale,Totale,15 anni e più,55-59 anni,15 anni e più,15 anni e più,tutte le voci,2017,36,,27_470_DF_DCIS_DIVORDEMCONG1_6
annuale,Basilicata,divorzi concessi dal tribunale,Totale,Totale,Totale,Totale,15 anni e più,55-59 anni,15 anni e più,15 anni e più,tutte le voci,2018,38,,27_470_DF_DCIS_DIVORDEMCONG1_6
annuale,Basilicata,divorzi concessi dal tribunale,Totale,Totale,Totale,Totale,15 anni e più,55-59 anni,15 anni e più,15 anni e più,tutte le voci,2019,38,,27_470_DF_DCIS_DIVORDEMCONG1_6
annuale,Basilicata,divorzi concessi dal tribunale,Totale,Totale,Totale,Totale,15 anni e più,55-59 anni,15 anni e più,15 anni e più,tutte le voci,2020,38,,27_470_DF_DCIS_DIVORDEMCONG1_6
annuale,Basilicata,divorzi concessi dal tribunale,Totale,Totale,Totale,Totale,15 anni e più,55-59 anni,15 anni e più,15 anni e più,tutte le voci,2021,42,,27_470_DF_DCIS_DIVORDEMCONG1_6
annuale,Basilicata,divorzi concessi dal tribunale,Totale,Totale,Totale,Totale,15 anni e più,55-59 anni,15 anni e più,15 anni e più,tutte le voci,2022,56,,27_470_DF_DCIS_DIVORDEMCONG1_6
annuale,Basilicata,divorzi consensuali extragiudiziali,Totale,Totale,Totale,Totale,15 anni e più,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2015,103,,27_470_DF_DCIS_DIVORDEMCONG1_6
annuale,Basilicata,divorzi consensuali extragiudiziali,Totale,Totale,Totale,Totale,15 anni e più,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2016,171,,27_470_DF_DCIS_DIVORDEMCONG1_6
annuale,Basilicata,divorzi consensuali extragiudiziali,Totale,Totale,Totale,Totale,15 anni e più,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2017,134,,27_470_DF_DCIS_DIVORDEMCONG1_6
